route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_color
1,"MET","1","WILLIAM",3,"http://metro.nfta.com/Routes/route.aspx?rt=1",
101,"MET","101","NORTH-SOUTH",3,"http://metro.nfta.com/Routes/route.aspx?rt=101",
102,"MET","102","BAILEY EAST",3,"http://metro.nfta.com/Routes/route.aspx?rt=102",
103,"MET","103","EAST-SUBURBAN",3,"http://metro.nfta.com/Routes/route.aspx?rt=103",
104,"MET","104","SOUTH-CENTRAL",3,"http://metro.nfta.com/Routes/route.aspx?rt=104",
106,"MET","106","SOUTH-SUBURBAN",3,"http://metro.nfta.com/Routes/route.aspx?rt=106",
11,"MET","11","COLVIN",3,"http://metro.nfta.com/Routes/route.aspx?rt=11",
110,"MET","110","WEST-NORTH",3,"http://metro.nfta.com/Routes/route.aspx?rt=110",
111,"MET","111","SOUTH MICHIGAN",3,"http://metro.nfta.com/Routes/route.aspx?rt=111",
12,"MET","12","UTICA",3,"http://metro.nfta.com/Routes/route.aspx?rt=12",
13,"MET","13","KENSINGTON",3,"http://metro.nfta.com/Routes/route.aspx?rt=13",
14,"MET","14","ABBOTT",3,"http://metro.nfta.com/Routes/route.aspx?rt=14",
145,"MET","","METRO RAIL",0,"http://metro.nfta.com/Routes/route.aspx?rt=145",
15,"MET","15","SENECA",3,"http://metro.nfta.com/Routes/route.aspx?rt=15",
16,"MET","16","SOUTH PARK",3,"http://metro.nfta.com/Routes/route.aspx?rt=16",
18,"MET","18","JEFFERSON",3,"http://metro.nfta.com/Routes/route.aspx?rt=18",
19,"MET","19","BAILEY",3,"http://metro.nfta.com/Routes/route.aspx?rt=19",
2,"MET","2","CLINTON",3,"http://metro.nfta.com/Routes/route.aspx?rt=2",
20,"MET","20","ELMWOOD",3,"http://metro.nfta.com/Routes/route.aspx?rt=20",
22,"MET","22","PORTER-BEST",3,"http://metro.nfta.com/Routes/route.aspx?rt=22",
23,"MET","23","FILLMORE-HERTEL",3,"http://metro.nfta.com/Routes/route.aspx?rt=23",
24,"MET","24","GENESEE",3,"http://metro.nfta.com/Routes/route.aspx?rt=24",
25,"MET","25","DELAWARE",3,"http://metro.nfta.com/Routes/route.aspx?rt=25",
26,"MET","26","DELAVAN",3,"http://metro.nfta.com/Routes/route.aspx?rt=26",
3,"MET","3","GRANT",3,"http://metro.nfta.com/Routes/route.aspx?rt=3",
32,"MET","32","AMHERST",3,"http://metro.nfta.com/Routes/route.aspx?rt=32",
34,"MET","34","NIAGARA FALLS BLVD.",3,"http://metro.nfta.com/Routes/route.aspx?rt=34",
35,"MET","35","SHERIDAN",3,"http://metro.nfta.com/Routes/route.aspx?rt=35",
4,"MET","4","BROADWAY",3,"http://metro.nfta.com/Routes/route.aspx?rt=4",
40,"MET","40","BUFFALO-NIAGARA FALLS",3,"http://metro.nfta.com/Routes/route.aspx?rt=40",
42,"MET","42","LACKAWANNA",3,"http://metro.nfta.com/Routes/route.aspx?rt=42",
44,"MET","44","LOCKPORT",3,"http://metro.nfta.com/Routes/route.aspx?rt=44",
46,"MET","46","LANCASTER",3,"http://metro.nfta.com/Routes/route.aspx?rt=46",
47,"MET","47","WEHRLE",3,"http://metro.nfta.com/Routes/route.aspx?rt=47",
48,"MET","48","WILLIAMSVILLE",3,"http://metro.nfta.com/Routes/route.aspx?rt=48",
49,"MET","49","EAST AMHERST",3,"http://metro.nfta.com/Routes/route.aspx?rt=49",
5,"MET","5","NIAGARA-KENMORE",3,"http://metro.nfta.com/Routes/route.aspx?rt=5",
50,"MET","50","MAIN - NIAGARA",3,"http://metro.nfta.com/Routes/route.aspx?rt=50",
52,"MET","52","NORTH END CIRCULATOR",3,"http://metro.nfta.com/Routes/route.aspx?rt=52",
55,"MET","55","PINE AVENUE",3,"http://metro.nfta.com/Routes/route.aspx?rt=55",
59,"MET","59","NIAGARA FALLS AIRPORT - NCCC",3,"http://metro.nfta.com/Routes/route.aspx?rt=59",
6,"MET","6","SYCAMORE",3,"http://metro.nfta.com/Routes/route.aspx?rt=6",
70,"MET","70","EAST AURORA EXPRESS",3,"http://metro.nfta.com/Routes/route.aspx?rt=70",
72,"MET","72","ORCHARD PARK EXPRESS",3,"http://metro.nfta.com/Routes/route.aspx?rt=72",
76,"MET","76","LAKESHORE EXPRESS",3,"http://metro.nfta.com/Routes/route.aspx?rt=76",
77,"MET","77","BUFFALO-NIAGARA FALLS EXPRESS",3,"http://metro.nfta.com/Routes/route.aspx?rt=77",
8,"MET","8","MAIN",3,"http://metro.nfta.com/Routes/route.aspx?rt=8",
